commodity_id,src,dst,demand,u,v,flow
18,19545,11581,1.0,10757,10305,1.0
19,10305,13502,88.0,10305,11581,88.0
19,10305,13502,88.0,11177,13502,88.0
19,10305,13502,88.0,11581,11177,88.0
20,18249,18545,43.0,18249,18545,43.0
21,13009,18647,91.0,14762,11484,90.99999999999999
21,13009,18647,91.0,13009,14762,76.0
21,13009,18647,91.0,13009,18935,14.999999999999993
21,13009,18647,91.0,18935,18249,14.999999999999998
21,13009,18647,91.0,18249,18545,14.999999999999998
21,13009,18647,91.0,11484,18647,90.99999999999999
21,13009,18647,91.0,18545,14762,15.000000000000002
22,18935,13009,45.0,18935,13009,45.0
23,13502,11581,1.0,18249,18545,1.0
23,13502,11581,1.0,13502,18249,1.0
23,13502,11581,1.0,10305,11581,1.0
23,13502,11581,1.0,18545,10757,1.0
23,13502,11581,1.0,10757,10305,1.0
24,19545,11484,1.0,19545,11484,1.0
25,18249,19545,1.0,14762,11484,1.0
25,18249,19545,1.0,18249,14762,1.0
25,18249,19545,1.0,11484,19545,1.0
